agent,timestep,mean,variance,std_dev,q1,q3,median,mad
0,271,0.10604540215661892,0.09070307864142982,0.30116951811468207,0.002462245523929596,0.041782277077436446,0.01077146679162979,0.0100008025765419
0,272,0.10559538579904112,0.09063954216480755,0.301064016722038,0.0020553436130285262,0.04235216304659844,0.011168673634529114,0.010367357730865478
0,273,0.10666529154405,0.09098702170341218,0.3016405504958048,0.0023509878665208817,0.04245597049593926,0.011300253868103027,0.010591647028923033
0,274,0.10610148355078237,0.09094410775893193,0.3015694078631517,0.0025115951895713804,0.038689357042312626,0.012083447724580764,0.0111707903444767
0,275,0.10313788933966024,0.09058820444988121,0.3009787441828429,0.0025958996266126633,0.030065897107124328,0.011149553209543228,0.009928105026483535
0,276,0.10158423439671214,0.09060756934383286,0.30101091233347815,0.00277475118637085,0.03163926191627979,0.011332139372825623,0.009771813452243806
0,277,0.10148884224920317,0.09032544878488574,0.3005419251699931,0.0032658476382493975,0.030627755075693132,0.013232982158660887,0.01180867701768875
0,278,0.1024532738643197,0.09035305827654984,0.30058785450604925,0.004373079538345337,0.03601478785276413,0.011983475089073181,0.011018764972686768
0,279,0.10633942082954141,0.09105467425727364,0.3017526706713192,0.0044702600687742235,0.040600138157606123,0.011762013286352157,0.010946135967969894
0,280,0.10903516646761162,0.09252374874298057,0.3041771667022043,0.00317954421043396,0.05177168548107147,0.012899723649024964,0.011935296654701232
0,281,0.11080587709752411,0.09349802125744011,0.30577446142122483,0.0028419822454452516,0.04155264683067798,0.012351727485656737,0.011389189958572386
0,282,0.11280477410898758,0.09597272326164798,0.3097946469221958,0.003433790430426598,0.040918432548642164,0.012575430795550346,0.011614085361361503
0,283,0.11279549873792205,0.09524999976616695,0.30862598686139014,0.004701704904437065,0.04088411219418049,0.012831835448741913,0.01187027245759964
0,284,0.1087087903386698,0.0930566212414888,0.3050518336963225,0.004987050220370293,0.04022778384387493,0.012062500417232513,0.0111001655459404
0,285,0.10759121485638853,0.0942613480200426,0.30702011012316865,0.004951835423707963,0.03472325652837753,0.011524742841720581,0.01071140170097351
0,286,0.1050119355101796,0.09364831853432885,0.3060201276621014,0.0049834616482257845,0.03350382670760155,0.011512082815170289,0.010695618391036988
0,287,0.10162487263042551,0.09263754901220979,0.304364171696029,0.004036957770586014,0.031286639720201494,0.011386412382125854,0.01010730043053627
0,288,0.1137298973240689,0.0970557347278383,0.31153769391172925,0.002587100863456726,0.04290102571249008,0.011353838443756103,0.010539126396179198
0,289,0.11795048355764035,0.09973704650419007,0.31581172635636895,0.0025050580501556397,0.040331130474805826,0.012807972729206085,0.011996723711490631
0,290,0.12195397808271295,0.1027070440658366,0.3204793972564174,0.0025830641388893127,0.03953647539019585,0.012965334951877594,0.012151850759983063
0,291,0.12994754584688767,0.1118462767089109,0.3344342636586612,0.0030485481023788453,0.04363970011472702,0.012603390216827392,0.011782854795455933
0,292,0.13661807087414404,0.12050588026066408,0.34713956884899205,0.004234999790787697,0.03936364352703095,0.011789335310459137,0.010968889296054841
0,293,0.1254217136286053,0.10132427513199592,0.3183147422473485,0.004782287031412124,0.04642671644687653,0.01195751577615738,0.011137397587299348
0,294,0.1243673117607832,0.10133583870970832,0.3183329054774393,0.003073745593428612,0.04891240447759628,0.011670000106096267,0.010943064838647841
0,295,0.1277570813742219,0.1032895329791219,0.32138688986814923,0.002989208698272705,0.05507745742797852,0.011828841269016266,0.011187805235385895
