cluster_id,agent_id,mean,std,var,q1,q3,count,cluster_size
19,2,0.02632601911266477,0.0761886915004196,0.00580471671254611,0.0012764893472194672,0.024349445942789316,2574,2574
20,0,0.029399968868963736,0.08217458585407195,0.006752662560288242,0.001464754343032837,0.025883600115776062,2373,2373
20,1,0.03670458848444134,0.09624993765901428,0.009264050499364134,0.001937471330165863,0.024293381720781326,2373,2373
20,2,0.027860482008260384,0.08188064418553052,0.0067044398922374545,0.0015863776206970215,0.025530090555548668,2373,2373
21,0,0.02902478935386673,0.07811220180193194,0.006101516070345741,0.0011735260486602783,0.02387754712253809,2347,2347
21,1,0.02281251539522643,0.061340973021766956,0.0037627149712571415,0.0013741031289100647,0.025339124724268913,2347,2347
21,2,0.027076842039339417,0.07651945375420557,0.0058552268028420045,0.0014185309410095215,0.02568626031279564,2347,2347
22,0,0.02825648913449009,0.07981009336146001,0.006369651002364965,0.001538693904876709,0.02480434440076351,2829,2829
22,1,0.028309482690006146,0.07956841911978703,0.00633113332122209,0.0014332383871078491,0.02600117214024067,2829,2829
22,2,0.026954373107751,0.07767229578636183,0.00603298553272408,0.0013330131769180298,0.024877559393644333,2829,2829
23,0,0.027361484044294688,0.07702047092790887,0.005932152941956856,0.0018859654664993286,0.024506088346242905,1989,1989
23,1,0.027109046007542603,0.07221945944701015,0.005215650322818343,0.00165557861328125,0.026337463408708572,1989,1989
23,2,0.024935992885298575,0.0684179764537435,0.004681019502025,0.001391872763633728,0.024988899007439613,1989,1989
24,0,0.027407935666109284,0.08296505449147891,0.006883200266774064,0.0013443231582641602,0.024311610963195562,2396,2396
24,1,0.02507285713816749,0.07127995651921139,0.005080832201380667,0.0011550188064575195,0.02485038572922349,2396,2396
24,2,0.028997584163111777,0.08149753929539492,0.006641848911204439,0.0013134628534317017,0.02530343784019351,2396,2396
25,0,0.026773502455993563,0.07643640313456988,0.005842523724150484,0.001511409878730774,0.025615669786930084,3213,3213
25,1,0.02657604879179927,0.07260334634398634,0.005271245900344834,0.0017495453357696533,0.026246706023812294,3213,3213
25,2,0.028429086708515613,0.0719839342500579,0.00518168679011666,0.0016452297568321228,0.027167532593011856,3213,3213
26,0,0.030529667507676828,0.08104915396438896,0.006568965358343226,0.0021996181458234787,0.0253710332326591,2170,2170
26,1,0.024878270510146353,0.07081029257060217,0.0050140975339342765,0.0014557316899299622,0.024977412540465593,2170,2170
26,2,0.030311887453134227,0.08140666216959429,0.006627044645594454,0.0016240105032920837,0.025637388229370117,2170,2170
27,0,0.023800312097885617,0.07440360581317762,0.005535896558002718,0.0009660422801971436,0.023154605645686388,2526,2526
27,1,0.025509851223140992,0.07499449238050374,0.005624173887409434,0.0013679936528205872,0.0244285948574543,2526,2526
27,2,0.02848486843377334,0.07869494807521035,0.006192894852560053,0.001594044268131256,0.025660702027380466,2526,2526
28,0,0.03098130718517191,0.08487529119363729,0.007203815055204724,0.0017301402986049652,0.0249030664563179,2567,2567
28,1,0.03189623877997494,0.08476727151650225,0.007185490320352413,0.002193443477153778,0.026552483439445496,2567,2567
28,2,0.028208721276186916,0.08085944577310716,0.006538249970734058,0.0013795942068099976,0.024687059223651886,2567,2567
29,0,0.030647719635838944,0.08173814374565656,0.006681124142985616,0.001966424286365509,0.026178520172834396,3115,3115
29,1,0.031595851880398075,0.08768531349601229,0.007688714202893955,0.001452907919883728,0.025502477772533894,3115,3115
29,2,0.024052169637673836,0.06708356440213711,0.0045002046128956785,0.0013864561915397644,0.024017867632210255,3115,3115
30,0,0.02623793000643314,0.07763431110423966,0.006027086260629869,0.0005896762013435364,0.025935315527021885,1546,1546
30,1,0.027878642019262732,0.07709412930450373,0.005943504773219539,0.0009281300008296967,0.026339794509112835,1546,1546
30,2,0.027428359039342282,0.0812746995405986,0.006605576785414577,0.0008001774549484253,0.025612028781324625,1546,1546
31,0,0.027010729951200695,0.07595049129722244,0.005768477128289461,0.001334119588136673,0.025427141692489386,2810,2810
31,1,0.02983224203758724,0.07599974899301035,0.005775961847000577,0.0020541157573461533,0.025227437261492014,2810,2810
31,2,0.02960859701365524,0.08839355071247694,0.007813419807559233,0.001364387571811676,0.024841129779815674,2810,2810
32,0,0.026461701875363456,0.07452842264018325,0.005554485781233779,0.001271948218345642,0.02472872007638216,2315,2315
32,1,0.02519391215231358,0.061281015342226186,0.003755362841374161,0.001598954200744629,0.026490421034395695,2315,2315
32,2,0.026301136861513037,0.07547226569048122,0.00569606288845459,0.0012400224804878235,0.023316891863942146,2315,2315
33,0,0.026670758409123634,0.07361756088536603,0.005419545270710575,0.0014872774481773376,0.02569081261754036,2936,2936
33,1,0.028153554971928757,0.08185415656888312,0.0067001029476032314,0.0015413202345371246,0.024255515541881323,2936,2936
33,2,0.02592749342960572,0.07259302442005702,0.005269747194450994,0.0011145472526550293,0.025290748104453087,2936,2936
34,0,0.02788935041381878,0.0766691718465475,0.00587816191163543,0.001505635678768158,0.02526363544166088,2183,2183
34,1,0.027702085719564593,0.08399862843785214,0.007055769579440341,0.0013924017548561096,0.025792338885366917,2183,2183
34,2,0.028366017450040536,0.07709880469427112,0.0059442256852853615,0.0016609759768471122,0.02452852576971054,2183,2183
35,0,0.03024620328143966,0.08464033674461527,0.007163986604241869,0.0014254897832870483,0.02499578008428216,2460,2460
35,1,0.02973468800896885,0.08490049992778141,0.007208094887987212,0.001573268324136734,0.02553592436015606,2460,2460
35,2,0.02580545770659346,0.06957433980600296,0.004840588759441169,0.001595139503479004,0.02555550215765834,2460,2460
36,0,0.02498818959372069,0.07190190083686035,0.0051698833439537,0.0012892112135887146,0.024235215038061142,2958,2958
36,1,0.027322612282051184,0.07893231819147979,0.006230310855081011,0.001303909346461296,0.02460737619549036,2958,2958
36,2,0.032656066523385666,0.08346562741812145,0.0069665109603006675,0.002002306282520294,0.02655086014419794,2958,2958
37,0,0.02734769453148996,0.07281947145281445,0.0053026754226672594,0.001514531672000885,0.02494345884770155,2415,2415
37,1,0.026465334695056235,0.07246069329218857,0.005250552072384621,0.0014913976192474365,0.02511876355856657,2415,2415
37,2,0.02875242873907714,0.08003398069042073,0.006405438065154638,0.0016733147203922272,0.024519026279449463,2415,2415
38,0,0.02377066185456459,0.06938393968971408,0.004814131086865882,0.0011845491826534271,0.02365958271548152,2700,2700
38,1,0.0277615332758675,0.07904738975128084,0.006248489826490899,0.0013628900051116943,0.023582469206303358,2700,2700
38,2,0.032064129258506,0.08717931751343518,0.007600233402108345,0.0019024387001991272,0.026685289572924376,2700,2700
39,0,0.02869433184469892,0.07947227148362629,0.006315841934767199,0.0014631971716880798,0.02568778768181801,2547,2547
39,1,0.02395628941544117,0.06829862896680729,0.004664702718745607,0.001304425299167633,0.024900706484913826,2547,2547
39,2,0.03007008275529059,0.08600771506367152,0.007397327050473709,0.001368790864944458,0.024026322178542614,2547,2547
40,0,0.027498571209066798,0.08161666460531791,0.006661279941296953,0.0014200359582901,0.024071134626865387,2629,2629
40,1,0.025024129978295014,0.0684146826377775,0.004680568800427814,0.0012598037719726562,0.024526365101337433,2629,2629
40,2,0.02981944919640702,0.08413466219055686,0.007078641381919119,0.0014543086290359497,0.02613888494670391,2629,2629
41,0,0.02967603783837426,0.0809493107014707,0.0065527909030432385,0.0013902448117733002,0.02478639781475067,2574,2574
41,1,0.028394418543533195,0.07461183356740379,0.005566925708289963,0.0014625880867242813,0.0253486311994493,2574,2574
41,2,0.029837739827558572,0.08077227502092964,0.0065241604120566945,0.0014434345066547394,0.025717410258948803,2574,2574
42,0,0.023900099107744963,0.07024591427625754,0.004934488472507323,0.0012966692447662354,0.024527261033654213,2415,2415
42,1,0.0266556445260457,0.0722869390443318,0.005225401556398941,0.0015602707862854004,0.02464744821190834,2415,2415
42,2,0.03099533583270868,0.09036359831025517,0.008165579899577152,0.001292012631893158,0.024508406408131123,2415,2415
43,0,0.031923680759666555,0.08489267445689214,0.007206766176443867,0.0017800666391849518,0.02494104579091072,2162,2162
43,1,0.026438352946540088,0.07737274861905467,0.005986542228867428,0.0014779642224311829,0.024421824142336845,2162,2162
43,2,0.02531492355181409,0.06877118329449136,0.004729475651724528,0.001483384519815445,0.025422650389373302,2162,2162
44,0,0.02652278444660397,0.06999192635085416,0.004898869754303393,0.0011667907238006592,0.026582639664411545,1813,1813
44,1,0.031326101087054296,0.08778902224981287,0.007706912427578139,0.0012009143829345703,0.027435636147856712,1813,1813
44,2,0.031822527117433386,0.07844787080461871,0.006154068433778148,0.0016701221466064453,0.02817721664905548,1813,1813
45,0,0.028765242459611897,0.08036627619082655,0.006458738348780214,0.002016901969909668,0.02484484575688839,2529,2529
45,1,0.030304693293596807,0.08768025717188353,0.007687827497727633,0.0016570314764976501,0.025301307439804077,2529,2529
45,2,0.028470819344382364,0.07604102970575476,0.005782238198711476,0.0017499476671218872,0.026224737986922264,2529,2529
46,0,0.030396144290213888,0.08305303551166206,0.006897806707701399,0.0014558732509613037,0.02577117457985878,2951,2951
46,1,0.02687643966989441,0.07597754552481016,0.005772587423974601,0.0018428042531013489,0.025632839649915695,2951,2951
46,2,0.02756404817250776,0.07437761617116825,0.00553202978730563,0.0014954805374145508,0.02518306765705347,2951,2951
47,0,0.027865915285303904,0.07376467365775001,0.005441227079834358,0.0012622103095054626,0.025453642010688782,2759,2759
47,1,0.02657322478391184,0.07227839672618804,0.00522416663330823,0.001177862286567688,0.025434037670493126,2759,2759
47,2,0.02440590043520152,0.07182711504259923,0.0051591344553427836,0.0012064799666404724,0.023738868534564972,2759,2759
48,0,0.02954787726160235,0.07821963043192148,0.006118310584906378,0.002102453261613846,0.026428640820086002,2706,2706
48,1,0.03082965915290954,0.08416697613584599,0.00708407987185207,0.002036402001976967,0.02437833184376359,2706,2706
48,2,0.02818397575413226,0.0749236809152261,0.005613557961886615,0.001718614250421524,0.025818060617893934,2706,2706
49,0,0.024290478040734045,0.06928005172501807,0.0047997255670211795,0.0013754591345787048,0.024129475466907024,2675,2675
49,1,0.025816610609746982,0.0779974350123796,0.0060835998685103785,0.0011762827634811401,0.023861777037382126,2675,2675
49,2,0.02847507026255409,0.07330950127638,0.00537428297739156,0.0016498714685440063,0.024690475314855576,2675,2675
50,0,0.024579143401176055,0.06891244997005021,0.004748925760874673,0.0013304799795150757,0.025774143636226654,3833,3833
50,1,0.024415909066531946,0.0696918369256763,0.004856952134075059,0.0013213753700256348,0.025450274348258972,3833,3833
50,2,0.029500086833088725,0.08272100920571773,0.006842765364012439,0.0016086176037788391,0.025668982416391373,3833,3833
51,0,0.025400630898298575,0.07704216786692299,0.005935495629635141,0.0013020038604736328,0.02421463653445244,2517,2517
51,1,0.023167937247502185,0.06537173867087659,0.004273464216853381,0.001138925552368164,0.02385741099715233,2517,2517
51,2,0.028439174068686145,0.07887792649575451,0.006221727288269652,0.0014520585536956787,0.02536558173596859,2517,2517
52,0,0.03056140727826385,0.08626718511975255,0.007442027228485656,0.0018250234425067902,0.025834762025624514,2326,2326
52,1,0.03106283436882488,0.08510937914141059,0.007243606417836377,0.0013654232025146484,0.02446841262280941,2326,2326
52,2,0.026797468579928402,0.07842481201913155,0.006150451140236121,0.0013784561306238174,0.02531012613326311,2326,2326
53,0,0.02821563089262111,0.07687513129982156,0.005909785812364805,0.0017141439020633698,0.02550250245258212,2594,2594
53,1,0.029701407263687335,0.08370730506588585,0.007006912921393279,0.0015430320054292679,0.024089418351650238,2594,2594
53,2,0.023108857167732477,0.06639643496148913,0.004408486575595256,0.0012176409363746643,0.024831042625010014,2594,2594
54,0,0.02710197171683523,0.07440144763745934,0.005535575410549606,0.0015320340171456337,0.024351479951292276,2034,2034
54,1,0.03083596309494033,0.08341002944746452,0.006957233012426899,0.0014035813510417938,0.026091902516782284,2034,2034
54,2,0.03133699175857755,0.08708349843168284,0.007583535699100908,0.0018350742757320404,0.026270207948982716,2034,2034
55,0,0.025301303814120983,0.07174719623919212,0.005147660168185145,0.001359831541776657,0.024181843269616365,2438,2438
55,1,0.02503356931905298,0.07140032441736702,0.005098006326905258,0.001274753361940384,0.02449122443795204,2438,2438
